ID, Category, Difficulty, FEN, Solution, GameLink, Date, Opening
131, Tattica Generica, Difficile, r2q2kr/ppp3pp/2np4/2bQP3/6b1/4PN2/PPP3PP/RN3R1K b - - 5 14, g8f8, https://www.chess.com/game/live/171423852710, 2026-07-11, Italian Game
132, Forchetta, Facile, r2q1k1r/ppp3pp/2np4/2bQP1N1/6b1/4P3/PPP3PP/RN3R1K b - - 7 15, d8f6, https://www.chess.com/game/live/171423852710, 2026-07-11, Italian Game
133, Pezzo Appeso, Media, r1b1k2r/ppp2ppp/3bqn2/8/2PQ4/8/PP2BPPP/RNB2RK1 b kq - 0 10, e6e2, https://www.chess.com/game/live/171423216172, 2026-07-11, Scotch Game
134, Matto Mancato, Facile, r1b1r1k1/ppp2ppp/5n2/8/2P4Q/B1P5/P3qPPP/R3R1K1 b - - 3 15, e2e1, https://www.chess.com/game/live/171423216172, 2026-07-11, Scotch Game
135, Pezzo Appeso, Facile, r1bq1rk1/pppp1p1n/2n5/2b1p1B1/2B1P3/2PP4/PP1N1PPP/R2Q1RK1 w - - 1 12, g5d8, https://www.chess.com/game/live/171422983758, 2026-07-11, Italian Game
136, Tattica Generica, Difficile, r1bqk2r/1ppp1ppp/2n2n2/p1bN4/2BpP3/P4N2/1PP2PPP/R1BQK2R b KQkq - 1 7, h7h6, https://www.chess.com/game/live/171422691232, 2026-07-11, Italian Game
137, Tattica Generica, Difficile, r1bq1rk1/1ppp1ppp/2n5/p1bN4/3pn3/P2B1N2/1PP2PPP/R1BQ1RK1 b - - 3 9, f7f5, https://www.chess.com/game/live/171422691232, 2026-07-11, Italian Game
138, Forchetta, Facile, r1bqn1k1/1ppp1pp1/2n5/p1bN2NQ/3p4/P7/1PP2PPP/R1B3K1 b - - 3 14, d8g5, https://www.chess.com/game/live/171422691232, 2026-07-11, Italian Game
139, Tattica Generica, Difficile, r4rk1/pp1n1pp1/n2qp3/3p2Pp/2pP3P/2N1PP2/PPPQN3/2KR3R b - - 3 16, a6c7, https://www.chess.com/game/live/171349360284, 2026-07-09, Queen's Pawn Opening
140, Forchetta, Facile, 8/pp5k/4qPp1/2n2n1p/P3P3/2N5/1PP1Q3/2K2R2 b - - 0 34, f5g3, https://www.chess.com/game/live/171349360284, 2026-07-09, Queen's Pawn Opening
141, Tattica Generica, Difficile, rnbq1rk1/ppp2ppp/8/6b1/4N3/3P1N1P/PPP2KP1/R2Q1B1R w - - 0 11, e4g5, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
142, Tattica Generica, Difficile, r1bq1rk1/ppp2ppp/8/8/3nN3/3P1N1P/PPP2KP1/R2Q1B1R w - - 3 13, c2c3, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
143, Tattica Generica, Difficile, r1b2rk1/ppp2ppp/8/8/3qN3/3P3P/PPP2KP1/R2Q1B1R w - - 0 14, f2e1, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
144, Tattica Generica, Facile, r4rk1/ppp3pp/1q6/5p2/4P3/2P2K1P/PP4P1/1R1Q1B1R w - - 0 18, d1b3, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
145, Tattica Generica, Difficile, 3r1rk1/p1p3pp/1p2q3/2K5/8/2PB3P/PP4P1/1R1Q3R w - - 0 22, c5b4, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
146, Tattica Generica, Difficile, 6k1/p1p3pp/1p2q3/3r4/1K3r2/2PB3P/PP4P1/1R1Q3R w - - 4 24, c3c4, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
147, Tattica Generica, Facile, 6k1/p1p3pp/1p2q3/8/8/2P4P/PPK2rP1/3R3R w - - 1 27, d1d2, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
148, Tattica Generica, Difficile, 3R4/p1p2kpp/1p6/8/8/2P4P/PPq2rP1/K6R w - - 7 30, h1b1, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
149, Tattica Generica, Facile, 8/p1pR2pp/1p2k3/8/8/2P4P/PPq2rP1/K6R w - - 9 31, h1b1, https://www.chess.com/game/live/171349092666, 2026-07-09, Petrov's Defense
150, Tattica Generica, Difficile, r1bq1rk1/ppp2pp1/1b1p1nnp/3P2B1/2B1P3/2N2N2/PP1Q1PPP/R4RK1 w - - 0 12, g5e3, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
151, Tattica Generica, Media, r1bq1rk1/ppp2pp1/1b1p3p/3P4/2B1P1nN/2N5/PP1Q1PPP/R4RK1 w - - 1 14, h4f3, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
152, Pezzo Appeso, Difficile, r1b2rk1/ppp2pp1/1b1p3p/3P4/2B1P1nq/2N4P/PP1Q1PP1/R4RK1 w - - 0 15, h3g4, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
153, Tattica Generica, Difficile, 8/8/p2p4/1p3k2/3b2p1/1P1p4/P4K2/8 w - - 2 59, f2f1, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
154, Tattica Generica, Difficile, 8/8/p7/1p1p1k2/3b2p1/1P1p4/P7/4K3 w - - 0 60, e1d2, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
155, Pezzo Appeso, Facile, 8/8/p7/1p1p1k2/3b4/1P1K4/P5p1/8 w - - 0 62, d3d4, https://www.chess.com/game/live/171298704240, 2026-07-08, Italian Game
156, Tattica Generica, Difficile, r1bqk2r/pppp1pp1/7p/2bBN3/3nP3/3P4/PPP2PPP/R1BQK2R b KQkq - 0 8, d8f6, https://www.chess.com/game/live/171297684406, 2026-07-08, Italian Game
157, Tattica Generica, Difficile, r1b3k1/pp1p2p1/2p2q1N/2b4Q/4P3/3P4/PP1K1PPP/n1B4R b - - 0 15, f6h6, https://www.chess.com/game/live/171297684406, 2026-07-08, Italian Game
158, Tattica Generica, Facile, r1b3k1/pp1p4/2p2q1p/2Q5/4P3/3P4/PP1K1PPP/n1B4R b - - 0 16, d7d5, https://www.chess.com/game/live/171297684406, 2026-07-08, Italian Game
159, Tattica Generica, Difficile, r1b1k1nr/p3bp1p/1pp1pqp1/8/3QP3/2N1BN2/PPP2PPP/R4K1R w kq - 3 10, d4c4, https://www.chess.com/game/live/171274824172, 2026-07-08, Sicilian Defense
160, Tattica Generica, Difficile, r1bk2nr/p3bp1p/1p2pqp1/2p1N3/Q3P3/2N1B3/PPP2PPP/R4K1R w - - 2 12, a1d1, https://www.chess.com/game/live/171274824172, 2026-07-08, Sicilian Defense
161, Tattica Generica, Media, r1b3nr/p1k1qp1p/1p4p1/2p1p3/Q3PB2/2N5/PPP2PPP/R4K1R w - - 0 15, c3d5, https://www.chess.com/game/live/171274824172, 2026-07-08, Sicilian Defense
162, Tattica Generica, Media, r6r/1k2np1p/ppb1q1p1/2pNp3/2Q1P3/6B1/PPP1KPPP/3RR3 w - - 0 21, c4b3, https://www.chess.com/game/live/171274824172, 2026-07-08, Sicilian Defense
163, Tattica Generica, Difficile, 4r1k1/3r2pp/p1N3b1/1p3p2/2p1pP2/2P1P1P1/PP1R2P1/3R2K1 b - - 4 29, d7d3, https://www.chess.com/game/live/171254244482, 2026-07-07, A45
164, Tattica Generica, Media, 4r1k1/6pp/p1N3b1/1p3p2/2p1pP2/2P1P1P1/PP1R2P1/6K1 b - - 0 30, e8e6, https://www.chess.com/game/live/171254244482, 2026-07-07, A45
165, Forchetta, Difficile, r3k2r/3p1ppp/bpq1pn2/8/1b2P3/2N1BN2/PPPQ1PPP/R3K2R w KQkq - 4 11, d2d4, https://www.chess.com/game/live/171253802806, 2026-07-07, Sicilian Defense
166, Pezzo Appeso, Facile, r3k2r/3p1ppp/bpq1p3/4P3/1b1Q4/2n1BN2/PPP2PPP/R3K2R w KQkq - 0 13, d4b4, https://www.chess.com/game/live/171253802806, 2026-07-07, Sicilian Defense
167, Pezzo Appeso, Difficile, 1r4k1/5ppp/8/p7/4P3/1P3P1P/6PK/R7 b - - 1 30, b8b3, https://www.chess.com/game/live/171253618564, 2026-07-07, Vienna Game
168, Tattica Generica, Media, 5k2/8/6K1/8/4P3/5P1P/6P1/8 b - - 2 44, f8e7, https://www.chess.com/game/live/171253618564, 2026-07-07, Vienna Game
169, Tattica Generica, Facile, 6k1/8/6K1/8/4P2P/5P2/6P1/8 b - - 0 45, g8f8, https://www.chess.com/game/live/171253618564, 2026-07-07, Vienna Game
170, Tattica Generica, Media, 8/4k2P/4P3/5K2/8/5P2/6P1/8 b - - 2 51, e7d6, https://www.chess.com/game/live/171253618564, 2026-07-07, Vienna Game
171, Pezzo Appeso, Difficile, rnbqk1nr/1p1p1ppp/p1p5/4N3/2B1P3/2N5/PPPP1bPP/R1BQK2R w KQkq - 0 6, e1f2, https://www.chess.com/game/live/171253198008, 2026-07-07, King's Pawn Opening
172, Tattica Generica, Facile, rn2k1nr/1p3ppp/pbpp2q1/6B1/2B1P1b1/2NP1N2/PPPQ2PP/R4K1R w kq - 4 11, f3h4, https://www.chess.com/game/live/171253198008, 2026-07-07, King's Pawn Opening
173, Forchetta, Difficile, r4rk1/ppp2ppp/2nbbn2/4p3/8/2Pq1NPP/PP1N1P2/R1BQKB1R b KQ - 5 12, d3d5, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
174, Tattica Generica, Media, r4rk1/ppp2ppp/2nbbn2/8/4p2N/2P3PP/PP1N1PB1/R1BR2K1 b - - 0 16, g7g5, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
175, Tattica Generica, Difficile, r4rk1/p1p3pp/2pbb3/5p2/2P4N/1P2B1P1/P4P1K/R2R4 b - - 1 23, f5f4, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
176, Tattica Generica, Difficile, r4rk1/p1p4p/2pbb1p1/5p2/2P4N/1P2B1P1/P4P1K/2RR4 b - - 1 24, f5f4, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
177, Tattica Generica, Media, r4rk1/2pb3p/2p3p1/p4p2/2PN4/bP2B1P1/P2R1P1K/3R4 b - - 3 28, a3b4, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
178, Tattica Generica, Difficile, r4rk1/2p4p/2b3p1/p1p1Np2/2P5/bP2B1P1/P2R1P1K/3R4 b - - 3 30, a8a6, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
179, Tattica Generica, Media, r4rk1/1bpN3p/6p1/p1p2p2/1bP5/1P2B1P1/P3RP1K/3R4 b - - 7 32, b7f3, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
180, Tattica Generica, Difficile, r3r1k1/1bp4p/5Np1/p1p2p2/1bP5/1P2B1P1/P3RP1K/3R4 b - - 9 33, g8f7, https://www.chess.com/game/live/171238002074, 2026-07-07, King's Pawn Opening
181, Tattica Generica, Difficile, 2k1r2r/pppqb3/3p1p2/3P2pp/3p4/3P2B1/PPPQ1PPP/R3R1K1 w - - 0 17, f2f4, https://www.chess.com/game/live/171237939836, 2026-07-07, Italian Game
182, Tattica Generica, Difficile, 3r1r2/1p1k1p2/p2p1p1p/2p1nP2/5P2/1B6/PPP3PP/2KRR3 b - - 0 20, e5c6, https://www.chess.com/game/live/171183821190, 2026-07-06, Center Game
183, Tattica Generica, Difficile, 4r3/8/2k2p1p/1ppB1P2/P4PP1/1PK4P/3R4/8 b - - 0 35, c6b6, https://www.chess.com/game/live/171183821190, 2026-07-06, Center Game
184, Tattica Generica, Facile, 2B3k1/p5pp/4pn2/8/8/1P6/1r3PPP/3R2K1 b - - 0 26, g8f7, https://www.chess.com/game/live/171173289770, 2026-07-06, Scotch Game
185, Tattica Generica, Difficile, r2q1r2/3b1pkp/p3p1p1/3pN2n/3P4/1B2Q3/P1P2PPP/R3R1K1 w - - 8 22, e5d7, https://www.chess.com/game/live/171172595802, 2026-07-05, A45
186, Tattica Generica, Difficile, 2r5/8/5kpp/5p2/1p1P1P2/2r5/P2R1P1P/R5K1 w - - 3 40, d4d5, https://www.chess.com/game/live/171172595802, 2026-07-05, A45
187, Tattica Generica, Media, 2r5/8/5kpp/5p2/P2P1P2/1p6/2rR1P1P/R5K1 w - - 1 42, d2c2, https://www.chess.com/game/live/171172595802, 2026-07-05, A45
188, Pezzo Appeso, Difficile, 2r5/8/5kpp/5p2/P2P1P2/8/1p3P1P/1RrR2K1 w - - 2 44, b1b2, https://www.chess.com/game/live/171172595802, 2026-07-05, A45
189, Forchetta, Media, 1r1q1rk1/p1p2ppp/1bp1pn2/8/1PPPp3/P3B3/3N1PPP/R2Q1RK1 b - - 0 14, b6d4, https://www.chess.com/game/live/171140096798, 2026-07-05, Reti Opening
190, Tattica Generica, Difficile, 1r3rk1/b1p2ppp/2p1pq2/P1PnN3/3Pp3/P7/3BQPPP/R4RK1 b - - 8 20, b8b2, https://www.chess.com/game/live/171140096798, 2026-07-05, Reti Opening
191, Tattica Generica, Media, r2q1rk1/ppp2pp1/2np2b1/2b1p2n/2B1P2P/2NPB3/PPP2P1N/R2QK1R1 b Q - 1 12, c5e3, https://www.chess.com/game/live/171126753428, 2026-07-04, Italian Game
192, Pezzo Appeso, Facile, r2q1rk1/ppp2pp1/2np2R1/2b5/2B1Pp1P/2NP4/PPP2P1N/R2QK3 b Q - 0 14, d8h4, https://www.chess.com/game/live/171126753428, 2026-07-04, Italian Game
193, Tattica Generica, Difficile, r2q1rk1/ppp2pp1/2n5/2bB3Q/4Pp1P/2NP4/PPP2P1N/R3K1R1 b Q - 0 17, d8e7, https://www.chess.com/game/live/171126753428, 2026-07-04, Italian Game
194, Tattica Generica, Facile, r4rk1/ppp2pp1/2n2q2/2bB3Q/4PpNP/2NP4/PPP2P2/R3K1R1 b Q - 2 18, f6d6, https://www.chess.com/game/live/171126753428, 2026-07-04, Italian Game
195, Tattica Generica, Difficile, 8/p7/1p3bk1/2p2p1p/2P1p3/1P2B1KP/P4PP1/8 w - - 2 27, g3h2, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
196, Scoperta, Difficile, 8/p7/1p4k1/2p2pbp/2P1pK2/1P2B2P/P4PP1/8 w - - 4 28, f4e5, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
197, Tattica Generica, Media, 8/p7/1p6/2p2pkp/2P1p3/1P2P1KP/P5P1/8 w - - 1 30, h3h4, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
198, Tattica Generica, Difficile, 8/p7/1p6/2p3kp/2P1pp2/1P2P2P/P4KP1/8 w - - 0 31, e3f4, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
199, Tattica Generica, Facile, 8/p7/1p6/2p3kp/2P1p3/1P2PpPP/P4K2/8 w - - 0 32, a2a3, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
200, Tattica Generica, Difficile, 8/8/8/p1p2k1p/P1P1p2P/4PpP1/5K2/8 w - - 1 37, f2g1, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
201, Tattica Generica, Facile, 8/8/8/p1p4p/P1P1p1kP/4PpP1/8/5K2 w - - 3 38, f1e1, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
202, Tattica Generica, Facile, 8/8/8/p1p4p/P1P1p2P/4P1k1/5p2/5K2 w - - 0 41, f1e2, https://www.chess.com/game/live/171078872692, 2026-07-03, Scotch Game
203, Matto Mancato, Facile, 4r1k1/6p1/p6p/1pprb2P/4R3/P1P4q/1P2Q2N/4R1K1 b - - 1 31, e5h2, https://www.chess.com/game/live/171078246764, 2026-07-03, Spanish Game
204, Tattica Generica, Media, 2b2rk1/1p4pp/1n2pq2/8/2BP1p2/1P2BQ2/5PPP/R5K1 w - - 0 24, e3d2, https://www.chess.com/game/live/171016133666, 2026-07-02, French Defense
205, Forchetta, Difficile, 8/5k2/4p2p/6p1/4K2P/1prb1PP1/8/1R6 w - - 1 40, e4d4, https://www.chess.com/game/live/171016133666, 2026-07-02, French Defense
206, Tattica Generica, Media, r1q2rk1/1pp1npp1/p2p1n1p/2b1p3/2B1P3/2PP1NNb/PP3PP1/R1BQR1K1 w - - 0 14, d3d4, https://www.chess.com/game/live/170991545860, 2026-07-01, Italian Game
207, Tattica Generica, Facile, r4rk1/1pp1np2/p2p1n1p/2b1pq2/2B5/2PP1N2/PP3PP1/R2QR1K1 w - - 0 17, d3d4, https://www.chess.com/game/live/170991545860, 2026-07-01, Italian Game
208, Matto Mancato, Facile, 6k1/R7/p5p1/5N2/3Pp3/3b4/r4rP1/3R2K1 b - - 0 36, f2g2, https://www.chess.com/game/live/170960225748, 2026-07-01, Queen's Pawn Opening
209, Tattica Generica, Facile, 6k1/R7/p7/5p2/3Pp3/3b3K/r5r1/3R4 b - - 1 38, f5f4, https://www.chess.com/game/live/170960225748, 2026-07-01, Queen's Pawn Opening
210, Tattica Generica, Difficile, 6k1/R7/p7/4Kp2/3Pp3/3b4/5r1r/3R4 b - - 7 41, f2g2, https://www.chess.com/game/live/170960225748, 2026-07-01, Queen's Pawn Opening
211, Tattica Generica, Media, 6k1/R7/p7/4Kp2/3P4/3bp3/5r1r/6R1 b - - 1 42, f2g2, https://www.chess.com/game/live/170960225748, 2026-07-01, Queen's Pawn Opening
212, Tattica Generica, Facile, 8/R5R1/p6k/4Kp2/3P4/3bp3/5r1r/8 b - - 7 45, h2h5, https://www.chess.com/game/live/170960225748, 2026-07-01, Queen's Pawn Opening
213, Tattica Generica, Difficile, r1bqkb1r/ppp2ppp/2n1p3/3pPn2/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 5 6, h2h4, https://www.chess.com/game/live/170959792002, 2026-07-01, Nimzowitsch Defense
214, Tattica Generica, Facile, 4k3/R1B2pp1/4p2p/3pP3/6K1/1r6/5nPP/8 w - - 11 40, g4h5, https://www.chess.com/game/live/170959792002, 2026-07-01, Nimzowitsch Defense
215, Tattica Generica, Facile, r4r2/p1ppqppk/1p2p2p/4P3/2Pn4/1P4Q1/P2B1PPP/R4RK1 w - - 0 16, g3d3, https://www.chess.com/game/live/170944117388, 2026-06-30, Nimzowitsch Defense
216, Tattica Generica, Media, r4r2/p1pQ1ppk/1p2p2p/4P1q1/2P4n/1PB3P1/P4P1P/R4RK1 w - - 1 21, d7c6, https://www.chess.com/game/live/170944117388, 2026-06-30, Nimzowitsch Defense
217, Tattica Generica, Difficile, r4r2/p1pQ1ppk/1p2p1qp/4P3/2P4n/1P4P1/P2B1P1P/R4RK1 w - - 3 22, d7c6, https://www.chess.com/game/live/170944117388, 2026-06-30, Nimzowitsch Defense
218, Tattica Generica, Media, r4r2/p1Q2ppk/1p2p1qp/4P3/2P5/1P1n2P1/P5KP/R3R3 w - - 2 27, e1e3, https://www.chess.com/game/live/170944117388, 2026-06-30, Nimzowitsch Defense
219, Tattica Generica, Difficile, r4r2/p1Q2ppk/1p2p2p/4P3/2P1q3/1P1n2P1/P5KP/R2R4 w - - 4 28, g2g1, https://www.chess.com/game/live/170944117388, 2026-06-30, Nimzowitsch Defense
220, Scoperta, Media, r2qk2r/3bbppp/p2p4/1ppPpn2/6B1/2PP3P/PP4PN/R1BQ1RK1 b kq - 1 14, f5h4, https://www.chess.com/game/live/170892224142, 2026-06-29, B50
221, Scoperta, Difficile, r5rk/6qp/p2p4/2pPp1R1/2P4P/5Q2/PP4P1/5RK1 b - - 1 31, g7e7, https://www.chess.com/game/live/170892224142, 2026-06-29, B50
222, Tattica Generica, Media, 8/8/6k1/r6p/PR6/6K1/8/8 b - - 1 63, g6f7, https://www.chess.com/game/live/170892224142, 2026-06-29, B50
223, Tattica Generica, Facile, 4r1k1/p4pp1/2Q5/7p/4n3/2N3KP/PPr3P1/8 w - - 2 26, g3h2, https://www.chess.com/game/live/170882168638, 2026-06-29, Philidor Defense
224, Tattica Generica, Difficile, r4r1k/pppb2pp/2nb4/3B1pq1/4p3/P3P1N1/1PQP1PPP/R1B1K2R b KQ - 3 15, c6e5, https://www.chess.com/game/live/170881701194, 2026-06-29, English Opening
225, Scoperta, Difficile, r4r1k/pppb2pp/2n5/3B1pq1/4p3/P3P1P1/1PQP2PP/R1B1K2R b KQ - 0 16, f5f4, https://www.chess.com/game/live/170881701194, 2026-06-29, English Opening
226, Tattica Generica, Difficile, 1r3r1k/pppb2pp/2n2q2/3B1p2/1P2p3/P3P1P1/2QP2PP/R1B2RK1 b - - 0 18, c6d4, https://www.chess.com/game/live/170881701194, 2026-06-29, English Opening
227, Tattica Generica, Media, 1r3r1k/pppb2pp/2n5/3B1p2/1P2p3/P3P1P1/1BQP2PP/q4RK1 b - - 1 19, a1f1, https://www.chess.com/game/live/170881701194, 2026-06-29, English Opening
228, Tattica Generica, Difficile, 2kr3r/1pp3pp/p1b2n2/2Pp1p2/3Pp2q/1P2P3/PB3PPN/RN1QR1K1 b - - 5 16, g7g5, https://www.chess.com/game/live/170877220908, 2026-06-29, Nimzowitsch-Larsen Attack
229, Tattica Generica, Difficile, 4qr2/1k1b2pp/1P3r2/P1Np3n/1P1Pp3/4R1P1/5PQN/2B2RK1 b - - 2 35, b7b8, https://www.chess.com/game/live/170877220908, 2026-06-29, Nimzowitsch-Larsen Attack
230, Tattica Generica, Media, rnb1kbnr/pp3ppp/2pp1q2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6, c1e3, https://www.chess.com/game/live/170876537730, 2026-06-29, King's Pawn Opening
231, Tattica Generica, Media, rnb1k1nr/pp2bppp/2pp1q2/8/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 2 7, c1e3, https://www.chess.com/game/live/170876537730, 2026-06-29, King's Pawn Opening
232, Tattica Generica, Difficile, rn3rk1/pp2bppp/2pp2q1/8/4P3/2N2N1b/PPPQBPP1/R3R1K1 w - - 0 14, e2f1, https://www.chess.com/game/live/170876537730, 2026-06-29, King's Pawn Opening
233, Tattica Generica, Difficile, rn3rk1/pp3ppp/2pp2q1/8/4P2b/2N4b/PPPQBPP1/R3R1K1 w - - 0 15, e2f1, https://www.chess.com/game/live/170876537730, 2026-06-29, King's Pawn Opening
234, Tattica Generica, Facile, rn3rk1/pp3ppp/2pp2q1/8/4P3/2N3bb/PPPQBP2/R3R1K1 w - - 0 16, e2g4, https://www.chess.com/game/live/170876537730, 2026-06-29, King's Pawn Opening
235, Tattica Generica, Difficile, r1bqk2r/pppp1p2/5p1p/4p2Q/2BnP3/3P4/PPP2PPP/R3K1NR b KQkq - 1 10, d8e7, https://www.chess.com/game/live/170875652576, 2026-06-29, Bishop's Opening
236, Tattica Generica, Difficile, r1bqk2r/pppp1p2/5p1p/4p2Q/2B1P3/3P4/PPn2PPP/R2K2NR b kq - 1 11, d7d5, https://www.chess.com/game/live/170875652576, 2026-06-29, Bishop's Opening
237, Tattica Generica, Media, 2kr3r/pp2qp2/2p1bp1p/3ppN1Q/B3P3/3P4/PPK2PPP/R6R b - - 1 17, e7c5, https://www.chess.com/game/live/170875652576, 2026-06-29, Bishop's Opening
238, Tattica Generica, Facile, 3r1r2/1k2Qp2/p6p/8/4R3/8/PP1q3P/1K2R3 b - - 1 32, b7a8, https://www.chess.com/game/live/170875652576, 2026-06-29, Bishop's Opening
239, Scoperta, Media, r4rk1/pppq1p1p/2nb1p2/8/4NPb1/1P2P1P1/P1P1N1BP/R2Q1RK1 b - - 0 13, d6e7, https://www.chess.com/game/live/170875592856, 2026-06-29, Irregular Openings
240, Tattica Generica, Media, r2q1rk1/ppp2ppp/3pb3/2b1p1B1/3nP3/2NP1N2/PPP2PPP/R2Q1RK1 b - - 4 10, d4f3, https://www.chess.com/game/live/170853374138, 2026-06-28, Italian Game
241, Tattica Generica, Media, r4rk1/ppp2qpp/3pbp2/4p3/3bP2B/1P1P2N1/P1P2PPP/1R1Q1RK1 b - - 4 16, g7g5, https://www.chess.com/game/live/170853374138, 2026-06-28, Italian Game
242, Tattica Generica, Difficile, r4rk1/bp1b1qpp/3p4/p1pNpp2/2P1P2B/1P1P4/P4PPP/1R1Q1RK1 b - - 0 22, f5f4, https://www.chess.com/game/live/170853374138, 2026-06-28, Italian Game
243, Tattica Generica, Media, 1r6/b5kp/1p4b1/p1pN4/2P5/1P4P1/P3RP1P/6K1 b - - 0 37, b8b7, https://www.chess.com/game/live/170853374138, 2026-06-28, Italian Game
244, Scoperta, Facile, 3r2k1/pp4pp/2p1Rr2/3p4/8/2qB1Q2/P1P2PPP/4R1K1 w - - 0 18, d3h7, https://www.chess.com/game/live/170849017962, 2026-06-28, Philidor Defense
245, Tattica Generica, Facile, 5r1k/pp5p/2p5/3p2Q1/8/8/P1P2PPP/4qBK1 w - - 3 22, g5g3, https://www.chess.com/game/live/170849017962, 2026-06-28, Philidor Defense
246, Tattica Generica, Difficile, 3r2k1/pprn1pp1/2bN3p/2p2P2/2P5/3B4/PP4PP/R3R1K1 w - - 1 21, e1e7, https://www.chess.com/game/live/170848781106, 2026-06-28, King's Pawn Opening
247, Tattica Generica, Media, 3r2k1/pp1n1pp1/2bN3p/2p2P2/2P5/3B4/PP4PP/R5K1 w - - 3 24, d3e4, https://www.chess.com/game/live/170848781106, 2026-06-28, King's Pawn Opening
248, Tattica Generica, Difficile, 6k1/pp3pp1/2b2n1p/2N2P2/2P5/8/PP1r2PP/4R1K1 w - - 1 27, e1e7, https://www.chess.com/game/live/170848781106, 2026-06-28, King's Pawn Opening
249, Tattica Generica, Facile, 6k1/p4pp1/1pb2n1p/5P2/2P5/1N6/PP4rP/1R4K1 w - - 0 29, g1f1, https://www.chess.com/game/live/170848781106, 2026-06-28, King's Pawn Opening
250, Tattica Generica, Difficile, rn1qkbnr/1pp2ppp/8/p3p3/3PP3/8/PPP3PP/R1BQKBNR w KQkq - 0 7, g1f3, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
251, Tattica Generica, Difficile, 5rk1/1pp2ppp/8/r1nPp3/p3P3/P2P1N1P/1P4PR/1KR5 w - - 5 22, g2g4, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
252, Tattica Generica, Media, 4r1k1/1pR2p1p/6p1/3r1N2/p3n1P1/P6P/1P5R/1K6 w - - 0 27, f5e7, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
253, Tattica Generica, Facile, 6k1/1R3p1p/6p1/3r4/p5P1/Pn2r2P/KP5R/8 w - - 1 30, h2h1, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
254, Tattica Generica, Facile, 8/5pkp/6p1/8/R5P1/P2nr2P/KP5R/3r4 w - - 5 34, a2b3, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
255, Tattica Generica, Facile, 8/5pk1/6pp/8/R5PP/P2nr3/KP5R/3r4 w - - 0 35, b2b4, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
256, Tattica Generica, Facile, 8/5pk1/7p/6pP/R5P1/P2nr3/KP5R/3r4 w - - 0 36, a2b3, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
257, Tattica Generica, Facile, 8/5pk1/7p/R5pP/6P1/P2nr3/KP5R/6r1 w - - 2 37, b2b4, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
258, Tattica Generica, Facile, 8/5pk1/7p/6pP/R5P1/P2n2r1/KP5R/6r1 w - - 4 38, b2b4, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
259, Tattica Generica, Facile, 8/5pk1/7p/6pP/3R2P1/Pn3r2/1P1R4/1K4r1 w - - 10 41, d2d1, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
